,artist_name,spotify_name,spotify_id,spotify_similarity,spotify_popularity,spotify_followers,spotify_listeners,spotify_genre_1,spotify_genre_2,spotify_genre_3,spotify_genre_4,spotify_genre_5,spotify_genre_6,spotify_genre_7,spotify_genre_8,spotify_genre_9,spotify_genre_10,spotify_genre_11,spotify_genre_12,spotify_genre_13,spotify_genre_14,spotify_genre_15,spotify_genre_16,spotify_genre_17,spotify_genre_18
/artists/3503621-24-pesos,24 Pesos,24 Pesos,5F62xYSX3SUCCwwDdHjR9J,1.0,3.0,134.0,79.0,,,,,,,,,,,,,,,,,,
/artists/549578-247-spyz,24-7 Spyz,24-7 Spyz,5EvYDcSvmVxZuMe4faStNq,1.0,24.0,11085.0,11100.0,funk metal,funk rock,rap rock,,,,,,,,,,,,,,,
/artists/9599579-247-diva-heaven,24/7 DIVA HEAVEN,24/7 Diva Heaven,1FRmvAlteQnT8HE4rqvU2C,1.0,15.0,1100.0,1700.0,,,,,,,,,,,,,,,,,,
/artists/9703194-24dias,24Dias,24Dias,3NT7dZuo1xv8M1ENLOOqS5,1.0,5.0,206.0,260.0,swiss trap,,,,,,,,,,,,,,,,,
/artists/4567838-25-years-oldies,25 Years Oldies,,,,,,,,,,,,,,,,,,,,,,,,
/artists/1006331-2562,2562,2562,2leze82lbuNUn3K4c7nS1B,1.0,17.0,8054.0,4400.0,bass music,classic dubstep,future garage,,,,,,,,,,,,,,,
/artists/3689796-257ers,257ers,257ers,6ihLfpY3cmdGyWEnItn30w,1.0,59.0,376255.0,1000000.0,antideutsche,deep german hip hop,partyschlager,,,,,,,,,,,,,,,
/artists/3130666-25plus,25plus,2plus1,4bzs3jM8CJ3m2xfJfemIr6,0.83,24.0,6608.0,16300.0,polish synthpop,,,,,,,,,,,,,,,,,
/artists/8429543-2ca,2CA,2Can,2RlqbCVLAyXBprZrmnjkDq,0.86,27.0,1652.0,4100.0,,,,,,,,,,,,,,,,,,
/artists/4392693-2cellos,2CELLOS,2CELLOS,6Fi8CHfO8WGtu3yO8c2Mc4,1.0,63.0,846825.0,1100000.0,bow pop,cello,,,,,,,,,,,,,,,,
/artists/8511828-2henning,2HENNING,2henning,2kWtxODG2O2EVYolADc9XE,1.0,0.0,14.0,1.0,,,,,,,,,,,,,,,,,,
/artists/8275573-2komplex,2Komplex,2Komplex,5B0ABKR0QFMUM1I7zMaqtM,1.0,1.0,103.0,133.0,,,,,,,,,,,,,,,,,,
/artists/3453506-2duos,2duos,2Duos,3LJUCCuXPL347r8HYcHksA,1.0,1.0,25.0,57.0,,,,,,,,,,,,,,,,,,
/artists/1997583-2econd-class-citizen,2econd class citizen,2econd Class Citizen,7moWOJPcZM7hjGb2YhTflG,1.0,18.0,3530.0,5800.0,,,,,,,,,,,,,,,,,,
/artists/9076074-2manydjs-dj-set,2manydjs (DJ Set),,,,,,,,,,,,,,,,,,,,,,,,
/artists/105947-2raumwohnung,2raumwohnung,2raumwohnung,6BHpFo1cbGCGLWh28wa43x,1.0,46.0,67112.0,242900.0,german pop,,,,,,,,,,,,,,,,,
/artists/161176-3-cohens,3 Cohens,3 Cohens,4TU7LHSh0AUCQwxUkuIs5x,1.0,5.0,788.0,411.0,israeli jazz,,,,,,,,,,,,,,,,,
/artists/335962-3-doors-down,3 Doors Down,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,1.0,73.0,3429747.0,8000000.0,alternative metal,nu metal,pop rock,post-grunge,,,,,,,,,,,,,,
/artists/185566-3-inches-of-blood,3 Inches of Blood,3 Inches Of Blood,0gNkDUN42nBxKOcpoF7iQ4,1.0,40.0,50619.0,83800.0,canadian metal,speed metal,vancouver metal,vancouver punk,,,,,,,,,,,,,,
/artists/7155254-3-years-fake-moustache-brothers,3 Years Fake Moustache Brothers,,,,,,,,,,,,,,,,,,,,,,,,
/artists/1966124-3-minutes-sur-mer,3 minutes sur mer,3 minutes sur mer,0XPpRdtzo13pHQmyqB9HGf,1.0,4.0,608.0,323.0,,,,,,,,,,,,,,,,,,
/artists/7617294-3-wahl,3. Wahl,wahlflow3r,0ROcqGMjuPr7NgtmbpKfSa,0.47,0.0,5.0,323.0,,,,,,,,,,,,,,,,,,
/artists/4954643-30000-monkies,30.000 Monkies,"30,000 monkies",6oUYst09mWEPgHLZ55cpZ4,0.93,1.0,422.0,82.0,belgian stoner rock,sludgecore,,,,,,,,,,,,,,,,
/artists/7923113-300514,30.05.14),,,,,,,,,,,,,,,,,,,,,,,,
/artists/8400548-3070,30/70,30/70,2hmDAP9qrP22L93Pbq7FWM,1.0,37.0,21422.0,91300.0,indie jazz,indie soul,,,,,,,,,,,,,,,,
/artists/4504353-30th,30th,30Thou,4EXnDHdd59mhI5tYvxSX5S,0.8,6.0,74.0,11.0,,,,,,,,,,,,,,,,,,
/artists/8131358-31052014,31.05.2014,,,,,,,,,,,,,,,,,,,,,,,,
/artists/364686-31knots,31Knots,31Knots,4nWVO2hfYWV6It7tKooj02,1.0,12.0,2249.0,790.0,math rock,,,,,,,,,,,,,,,,,
/artists/9525349-3280goons,3280goon$,3280 Goon$,6ySngTujh8qQSEoPCW18RR,0.95,1.0,153.0,98.0,schweizer rap,,,,,,,,,,,,,,,,,
/artists/440988-340ml,340ml,340ml,6rrIBmKWKnUbi6XLFfKEw5,1.0,24.0,4903.0,14500.0,african rock,black punk,,,,,,,,,,,,,,,,
/artists/114914-36-crazyfists,36 Crazyfists,36 Crazyfists,4ijGLY4dzlurDh7jqH3tW7,1.0,47.0,135052.0,247900.0,alternative metal,melodic metalcore,metalcore,nu metal,rap rock,,,,,,,,,,,,,
/artists/3871851-360deg,360°,360°α,429aiTPIW6ZfWp0PhGiPJM,0.89,0.0,5.0,247900.0,,,,,,,,,,,,,,,,,,
/artists/9756709-3lp-clubband,3LP Club-Band,,,,,,,,,,,,,,,,,,,,,,,,
/artists/9334934-3ma-ballake-sissoko-driss-el-maloumi-rajery,"3MA : Ballaké Sissoko, Driss El Maloumi, Rajery",,,,,,,,,,,,,,,,,,,,,,,,
/artists/569328-3oh3,3OH!3,3OH!3,0FWzNDaEu9jdgcYTbcOa4F,1.0,67.0,805366.0,3300000.0,dance pop,electropowerpop,modern rock,pop punk,pop rap,post-teen pop,,,,,,,,,,,,
