,venue,locality,postal_code,street,country,latitude,longitude,venue_website,manual_input
/venues/922301,Place Dorciere,Geneva,,Place Dorcière,Switzerland,46.20835,6.14674,,
/venues/593611,Gare Routiere,Geneva,,Place Dorcire,Switzerland,46.20835,6.14674,,
/venues/1173391,Uptown,Geneva,1201,"2, Rue de la Servette",Switzerland,46.20931,6.1397,,
/venues/2742188,Comedie De La Gare - Uptown Geneva,Geneva,1201,RUE DE LA SERVETTE 2,Switzerland,46.20931,6.1397,,
/venues/3350954,Place Chateaubriand,Geneva,1201,,Switzerland,46.20955,6.14505,,
/venues/3333294,Place de la Navigation,Geneva,1201,,Switzerland,46.20955,6.14505,,
/venues/2345219,Walden,Geneva,1201,rue des Amis 9,Switzerland,46.21016,6.1403,https://www.facebook.com/lee.walden.75,X
/venues/3409034,Walden club hétérotopique,Geneva,,9 rue des Amis,Switzerland,46.21016,6.1403,,/venues/2345219
/venues/98757,Théâtre du Léman,Geneva,1201,"19, Quai du Mont Blanc",Switzerland,46.21018,6.15088,,X
/venues/46352,Grand Casino,Geneva,1250,Quai du Mont-Blanc 19,Switzerland,46.21018,6.15088,,/venues/98757
/venues/3743989,Quai du Mont-Blanc 19,Geneva,1201,Quai du Mont-Blanc 19,Switzerland,46.21018,6.15088,http://www.rrp.ch,
/venues/2817958,Club Tsunami,Conthey,1964,Rue des industries 9,Switzerland,46.21602,7.29728,http://www.tsunami.ch/,/venues/3823269
/venues/3823269,Octave Club,Conthey,1964,Rue des Industries 9,Switzerland,46.21602,7.29728,,X
/venues/3789594,Le Cercle,Conthey,1964,Rue des Industries 9,Switzerland,46.21602,7.29728,http://www.cercle-club.ch,/venues/3823269
/venues/2917723,Petit Music Hohl,Geneva,1216 Genève,"54, avenue Louis-Casaï",Switzerland,46.22326,6.11009,,
/venues/3271084,P'tit Rock Fest,Geneva,,avenue Louis-Casaï 54,Switzerland,46.22326,6.11009,http://www.rock-fest.ch/,
/venues/2395599,Arcades de la Grenette Grand-Pont,Sion,1950,,Switzerland,46.22702,7.35334,http://www.lagreu.ch/arcades/sarcades.htm,
/venues/2781763,Plaine De Tourbillon,Sion,1950,,Switzerland,46.22702,7.35334,,
/venues/1074741,Ferme-Asile,Sion,1950,Promenade des Pêcheurs 10,Switzerland,46.22978,7.37238,,/venues/3198558
/venues/3198558,La Ferme Asile,Sion,1950,Promenade des Pêcheurs 10,Switzerland,46.22978,7.37238,,X
/venues/1257581,"Kellertheater, Brig",Sion,,-,Switzerland,46.23312,7.36063,,
/venues/3234169,Sion sous les Étoiles,Sion,,,Switzerland,46.23312,7.36063,,
/venues/2511179,Guinness Irish Festival,Sion,,,Switzerland,46.23312,7.36063,,
/venues/4412929,Kasse-Noisettes Granges,Sion,3977,,Switzerland,46.23312,7.36063,,
/venues/3489049,L'E-Gloo Vernamiège,Sion,,,Switzerland,46.23312,7.36063,,
/venues/4368588,Place du midi 29,Sion,1950,,Switzerland,46.23312,7.36063,,
/venues/3544994,Château De La Majorie,Sion,,,Switzerland,46.23312,7.36063,,
/venues/491426,Forum de Meyrin,Geneva,,,Switzerland,46.2335,6.08,,
/venues/492661,Salle Antoine-Verchere,Geneva,,,Switzerland,46.2335,6.08,,
/venues/2138324,La Centrale,Geneva,,,Switzerland,46.2335,6.08,,
/venues/2138319,Aérogare,Geneva,,,Switzerland,46.2335,6.08,,
/venues/2779143,Gare Routière Aéroport de Genève,Geneva,1211,Cointrin (près du P1),Switzerland,46.23701,6.10916,,
/venues/3163409,Église de Saanen,Geneva,3780,,Switzerland,46.23701,6.10916,,
/venues/772831,Gare Cff,Geneva,1215,Aeroport De Geneve/coitrin,Switzerland,46.23701,6.10916,,
/venues/418426,Pont Rouge,Monthey,1870,Avenue de Plantaud 122,Switzerland,46.25056,6.96431,http://www.pontrouge.ch,/venues/4233269
/venues/4233269,Le Pont Rouge,Monthey,1870,Av. de la plantaud 122,Switzerland,46.25056,6.96431,,X
/venues/4245059,Buvette du bord de l'eau,Sierre,3960,Lac de Géronde,Switzerland,46.28894,7.54277,http://auborddeleau.bar,
/venues/1381866,Lac de Géronde,Sierre,3960,Lac de Géronde,Switzerland,46.28894,7.54277,,
/venues/2261264,Week End Au Bord De L'eau,Sierre,,Géronde Lake,Switzerland,46.28894,7.54277,,
/venues/1410093,Hacienda Sonic,Sierre,3960,Rue De La Monderèche 7,Switzerland,46.29065,7.53197,,
/venues/3316499,Jazz Station Sierre,Sierre,,Route de la Mondérêche 7,Switzerland,46.29065,7.53197,,
/venues/3461269,Anciens Abattoirs,Sierre,3960,Rue de la Monderèche 7,Switzerland,46.29065,7.53197,http://www.aslec.ch/,
/venues/3211483,Station service,Sierre,3960,Anciens abattoirs,Switzerland,46.29167,7.54293,,
/venues/1351156,Villa Bayard,Sierre,,Ch-3960,Switzerland,46.29167,7.54293,,
/venues/4390481,"Evolène, Switzerland",Sierre,1983,,Switzerland,46.29413,7.53354,,
/venues/1351166,Sierre Downtown,Sierre,,Downtown Sierre,Switzerland,46.29413,7.53354,,
/venues/4372903,Buvette Orzival Burger - Grimentz,Sierre,3961,,Switzerland,46.29413,7.53354,https://www.valdanniviers.ch/fr/remontees-mecaniques-grimentz-zinal-1950.html,
/venues/3769749,AltiKulti,Sierre,3930,,Switzerland,46.29473,7.88212,,
/venues/4415344,"Chalte Bodu, Bürchen",Sierre,3935,,Switzerland,46.29473,7.88212,,
/venues/2848083,La Pote,Montreux,,,Switzerland,46.3,7.05,,
/venues/3195148,Place Du Marche,Montreux,,,Switzerland,46.3,7.05,,
/venues/3453734,Cry D'er - Club d'Altitude,Sierre,,,Switzerland,46.30762,7.47371,http://www.cryder.ch/accueil/,
/venues/3360714,New Pub,Sierre,,,Switzerland,46.30762,7.47371,,
/venues/3818334,Kellertheater,Sierre,3900 Brig,Alte Simplonstrasse 28,Switzerland,46.31529,7.99065,http://www.kellertheater.ch/,
/venues/4096889,Stockalperpalast,Sierre,3900,Alte Simplonstrasse 28,Switzerland,46.31529,7.99065,,
/venues/4055984,Salle de l'Aiglon,Montreux,1860,Avenue de Loës 6,Switzerland,46.31588,6.96691,,X
/venues/4055974,L'Aiglon,Montreux,1860,Avenue de Loës 6,Switzerland,46.31588,6.96691,,/venues/4055984
/venues/3092669,"Das Zelt Ag, Rhonesandterrain, Brig",Sierre,3900,Rhonesandterrain,Switzerland,46.3159,7.98782,,
/venues/4379369,Patinage,Sierre,,Rathausstraße 8,Switzerland,46.3159,7.98782,,
/venues/3769779,Hip Hop Zelt,Sierre,,,Switzerland,46.3159,7.98782,,
/venues/1625638,Leysarium,Montreux,,,Switzerland,46.34129,7.01243,,
/venues/418371,Centre Des Sports Leysin,Montreux,,,Switzerland,46.34129,7.01243,,
/venues/2185989,Station,Montreux,,,Switzerland,46.34129,7.01243,,
/venues/3481649,IcogneJazz Festival,Sierre,1977,Icogne,Switzerland,46.34257,7.49844,http://www.icognejazz.ch,
/venues/3738974,Le Pacha,Sierre,,,Switzerland,46.34257,7.49844,,
/venues/3738969,Cervin Lounge Club,Sierre,,,Switzerland,46.34257,7.49844,,
/venues/2138119,Les Hivernales,Nyon,1260,Multiple venues,Switzerland,46.38051,6.22987,https://leshivernales.ch,
/venues/3263484,Fête de la Musique,Nyon,1260,Various venues,Switzerland,46.38051,6.22987,http://www.nyonmusique.ch,
/venues/4056459,Bar la Parenthèse,Nyon,1260,Grand-Rue 22 Bis,Switzerland,46.38166,6.23897,http://www.bar-laparenthese.ch/,/venues/341441
/venues/4011669,La Paranthese,Nyon,1260,Grand-Rue 22 Bis,Switzerland,46.38166,6.23897,http://www.bar-laparenthese.ch,/venues/341441
/venues/341441,La Parenthèse,Nyon,1260,Grand-rue 22bis,Switzerland,46.38327,6.23479,http://www.bar-laparenthese.ch,X
/venues/4274024,Gare Nyon,Nyon,1260,,Switzerland,46.38327,6.23479,,
/venues/2268154,Inch Club,Sion,3984,Furkastrasse 59,Switzerland,46.38342,8.09874,https://www.facebook.com/inchclubfiesch,
/venues/3903024,Gommer Openair Lax,Sierre,3994,Furkastrasse 46,Switzerland,46.38342,8.09874,,
/venues/4366121,Alpina Tipi Bar - Fiescheralp,Sierre,3984,,Switzerland,46.40145,8.13331,http://www.alpinafiescheralp.ch/,
/venues/3631599,Eggishorn - 2926 müM,Sierre,,,Switzerland,46.40145,8.13331,,
/venues/84629,Montreaux Casino,Montreux,1820,,Switzerland,46.42761,6.95941,,
/venues/491421,Montreux Jazz Café,Montreux,1820,,Switzerland,46.42761,6.95941,,
/venues/2356919,Montreux Music and Convention Center - Jazz Club,Montreux,1820,,Switzerland,46.42761,6.95941,,
/venues/2803258,Funky Claude's Lounge,Montreux,1820,,Switzerland,46.42761,6.95941,,
/venues/2985128,Montreux Palace,Montreux,1820,,Switzerland,46.42761,6.95941,,
/venues/2950868,Boats,Montreux,1820,,Switzerland,46.42761,6.95941,,
/venues/108189,Montreux Jazz Festival,Montreux,,,Switzerland,46.43122,6.91068,,
/venues/3321349,Strobe Klub,Montreux,,,Switzerland,46.43122,6.91068,,
/venues/3671884,Tattoo Convention,Montreux,,,Switzerland,46.43122,6.91068,,
/venues/3449719,Le bar à vin,Montreux,,,Switzerland,46.43122,6.91068,,
/venues/3342939,Energy Challenge,Montreux,,Place du Marché,Switzerland,46.4321,6.90977,,
/venues/4418984,Statue de Freddie Mercury,Montreux,1820,Pl. du Marché,Switzerland,46.4321,6.90977,,
/venues/101332,Ned Music Club,Montreux,1820,Rue du Marché 19,Switzerland,46.43391,6.91234,,
/venues/4351024,Festi'Bac,Montreux,,Rue du Marché 19,Switzerland,46.43391,6.91234,,
/venues/3026684,Montreux Jazz Festival Club,Montreux,,,Switzerland,46.436,6.91028,,
/venues/2648928,Jazz in the Park,Montreux,,Montreux Jazz Festival,Switzerland,46.436,6.91028,,
/venues/3034809,MJF - Terrasse Couleur 3,Montreux,,,Switzerland,46.436,6.91028,,
/venues/2311624,Montreux Jazz Club,Montreux,1829,Avenue Claude Nobs 2,Switzerland,46.43861,6.9068,http://www.montreuxjazz.com,
/venues/4391549,Jardin du Montreux palace,Montreux,1820,Av. Claude-Nobs 2,Switzerland,46.43861,6.9068,,
/venues/3535434,Fairmont Hotel Le Montreux Palace,Montreux,1820,Av. Claude-Nobs 2,Switzerland,46.43861,6.9068,,
/venues/4382933,Oniria Festival,Montreux,,Avenue Claude Nobs 5,Switzerland,46.43922,6.90435,http://oniriafestival.com,
/venues/3958664,Montreux Music & Convention Centre,Montreux,1820,AV. CLAUDE-NOBS 5,Switzerland,46.43922,6.90435,,X
/venues/4044449,2m2c Montreux Music & Convention Center,Montreux,1820,Avenue Claude Nobs 5,Switzerland,46.43922,6.90435,,/venues/3958664
/venues/4250569,Auditorium Stravinski Debout 2019,Montreux,1820,Avenue Claude Nobs 5,Switzerland,46.43922,6.90435,,/venues/64260
/venues/64260,Auditorium Stravinski,Montreux,1820,Grand-Rue 95,Switzerland,46.43931,6.90471,,X
/venues/1048096,Montreux Music and Convention Center,Montreux,1820,Grand-Rue 95,Switzerland,46.43931,6.90471,,/venues/3958664
/venues/3724009,Salle des Remparts,Montreux,1814,"Place des Anciens-Fossés 7, Tour-de-Peilz",Switzerland,46.45288,6.85851,,X
/venues/4366012,Salle des Remparts,Riviera-Pays-d'Enhaut,1814,Place des Anciens-Fossés 7,Switzerland,46.45288,6.85851,https://www.la-tour-de-peilz.ch/,/venues/3724009
/venues/4387472,Le Temple,Riviera-Pays-d'Enhaut,1814,,Switzerland,46.45721,6.86927,,
/venues/3379239,Théâtre du Château,Montreux,1814,,Switzerland,46.45721,6.86927,,
/venues/2223439,Le Local,Montreux,1800,30 rue du Panorama,Switzerland,46.46085,6.84793,http://www.facebook.com/groups/fetivalocal/,
/venues/1953989,Kava Zik,Montreux,1800 Vevey,PANORAMA 30,Switzerland,46.46085,6.84793,http://le-local.org/,
/venues/3307194,Temple Saint-martin,Montreux,1800,Boulevard Saint-Martin,Switzerland,46.46163,6.84933,,X
/venues/2744723,Église Saint-Martin,Montreux,1800,Bd. Saint-Martin,Switzerland,46.46163,6.84933,,/venues/3307194
/venues/1001236,Live Vevey,Montreux,,,Switzerland,46.46273,6.84243,,/venues/971771
/venues/971771,Espace Guinguette,Montreux,,,Switzerland,46.46273,6.84243,,X
/venues/2085669,Sessions Studio 603,Montreux,,,Switzerland,46.46273,6.84243,https://www.facebook.com/pages/Sessions-Studio-603/165978506784016?ref=hl,
/venues/2372334,Jardin Roussy,Montreux,,,Switzerland,46.46273,6.84243,,
/venues/245593,Animai,Montreux,,,Switzerland,46.46273,6.84243,,
/venues/2410869,La Fourchette,Montreux,,,Switzerland,46.46273,6.84243,,
/venues/1446438,Salle de Castillo,Montreux,,,Switzerland,46.46273,6.84243,,
/venues/236273,Toit Du Monde,Montreux,,,Switzerland,46.46273,6.84243,,
/venues/1008911,Vaud Market Place,Montreux,,,Switzerland,46.46273,6.84243,,
/venues/563341,Les Temps Modernes,Montreux,,,Switzerland,46.46273,6.84243,,
/venues/3203138,Diva Club,Montreux,,,Switzerland,46.46283,6.84192,,
/venues/3313634,Squat FMR,Montreux,,,Switzerland,46.46283,6.84192,,
/venues/4375499,Villa de La Becque,Montreux,,La Tour-de-Peilz,Switzerland,46.46283,6.84192,,
/venues/861761,Café Ve,Montreux,1800,pl. de la Gare,Switzerland,46.46308,6.84296,http://www.veme.ch,/venues/1107486
/venues/1107486,Cafe Le Veme,Montreux,,Place De La Gare,Switzerland,46.46308,6.84296,,X
/venues/3737209,Chesery Club,Martigny,,,Switzerland,46.47176,7.28657,,
/venues/4122174,Ride on Music,Martigny,3780,,Switzerland,46.47176,7.28657,,
/venues/3434414,Das Zelt,Martigny,3780,Eisenbahnareal,Switzerland,46.47176,7.28657,,
/venues/3772934,Skigebiet Schönried-Saanenmöser,Martigny,,,Switzerland,46.47176,7.28657,,
/venues/3655339,Festival Tent,Martigny,,,Switzerland,46.47176,7.28657,,
/venues/3430294,Katholische Kirche Zweisimmen bei,Martigny,,,Switzerland,46.47176,7.28657,http://www.zweisimmenjazz.ch/programm-2016-2017/heidi-happy,
/venues/2867038,Jam Gstaad,Martigny,3780,Hauptstrasse,Switzerland,46.47199,7.28555,http://jam-events.ch/,X
/venues/2867598,Jam Gstaad,Montreux,3792,Hauptstrasse,Switzerland,46.47199,7.28555,,/venues/2867038
/venues/3393679,Le 3780,Martigny,3780,Promenade 57,Switzerland,46.47427,7.28579,http://www.le3780.ch/,
/venues/2843683,Kapelle Gstaad,Martigny,3780,Promenade,Switzerland,46.47427,7.28579,,
/venues/4132894,Kempinski Residences,St. Moritz,,Via Mezdi 35,Switzerland,46.48189,9.83322,https://www.kempinski-residences.ch/en,X
/venues/4132899,Kempisnki Residences,St. Moritz,,Via Mezdi 35,Switzerland,46.48189,9.83322,https://www.kempinski-residences.ch/en,/venues/4132894
/venues/2171889,Chapiteau,Lausanne,1096,Place d'Armes,Switzerland,46.48845,6.73283,,
/venues/2171894,Next Step,Lausanne,1096,Place d'Armes,Switzerland,46.48845,6.73283,,
/venues/4149999,Union Vinicole De Cully,Lausanne,1096,Rue de la Gare 10,Switzerland,46.4893,6.72779,,X
/venues/4233274,Union Vinicole De Cully / Temple Extramuros,Lausanne,1096,Rue de la Gare 10,Switzerland,46.4893,6.72779,,/venues/4149999
/venues/3506954,Festival Lavaux Classic,Lausanne,,,Switzerland,46.4896,6.72909,,X
/venues/2994563,Cully Classique,Lausanne,,,Switzerland,46.4896,6.72909,,/venues/3506954
/venues/3119414,Corvatsch & Schulhausplatz St. Moritz,St. Moritz,7500,,Switzerland,46.4908,9.83551,,
/venues/3726369,House of Fans,St. Moritz,,,Switzerland,46.4908,9.83551,,
/venues/4321319,Pontisella,St. Moritz,7605,Strada Cantonale 86,Switzerland,46.4908,9.83551,http://www.pontisella-stampa.ch/,
/venues/2635968,Pitschna Scena,St. Moritz,,,Switzerland,46.49164,9.90374,,
/venues/2496439,Sporthotel Lounge,St. Moritz,,Sporthotel Lounge,Switzerland,46.49164,9.90374,,
/venues/2621568,Larett Market,St. Moritz,,,Switzerland,46.49164,9.90374,,
/venues/2788463,Bergrestaurant Alp Languard,St. Moritz,7504,,Switzerland,46.49164,9.90374,,
/venues/2756958,Kongress- und Kulturzentrum Rondo,St. Moritz,7504,Via Maistra 133,Switzerland,46.49302,9.9029,,
/venues/1865428,Voices on Top,St. Moritz,7504,Via Maistra 133,Switzerland,46.49302,9.9029,,
/venues/4378865,Hauser's Terrasse,St. Moritz,7500,Via Traunter plazzas 7,Switzerland,46.49753,9.83785,https://www.hotelhauser.ch/hauser-st-moritz/,
/venues/4364970,RooBar,St. Moritz,7500,Via Traunter Plazzas 7,Switzerland,46.49753,9.83785,https://www.hotelhauser.ch/hauser-restaurant/hauser-roobar/,
/venues/3343969,Les Estivales Pully,Lausanne,,,Switzerland,46.50927,6.66549,,
/venues/3441024,Cinéma City Club,Lausanne,,,Switzerland,46.50927,6.66549,,X
/venues/2078519,City Club,Lausanne,,,Switzerland,46.5093,6.6616,,/venues/3441024
/venues/2593563,Café-Théâtre de la Voirie,Lausanne,,,Switzerland,46.5093,6.6616,,
/venues/4113324,Centre Pluriculturel et social d’Ouchy (,Lausanne,1006,Chemin de  Beau-Rivage 2,Switzerland,46.51096,6.63036,https://www.cpo-ouchy.ch,X
/venues/4339577,Cpo D'ouchy,Lausanne,1006,Beau-Rivage 2,Switzerland,46.51096,6.63036,,/venues/4113324
/venues/2386324,Watergate,Lausanne,1007,,Switzerland,46.51605,6.609,http://www.water-gate.ch/fr/le-cafe/,
/venues/2134484,E-jaques Dalcrose 9,Lausanne,1007,,Switzerland,46.51605,6.609,http://www.water-gate.ch/,
/venues/612901,For Noise Festival,Lausanne,1009,Chemin Du Stand 5,Switzerland,46.51958,6.66884,,
/venues/1029536,Site Des 4-vents,Lausanne,,Chemin Du Stand 5,Switzerland,46.51958,6.66884,,
/venues/3875219,La Grange de Dorigny,Lausanne,1015,,Switzerland,46.5196,6.56849,http://wp.unil.ch/grangededorigny,
/venues/2619663,Rolex Learning Center,Lausanne,,1015 Ecublens,Switzerland,46.5196,6.56849,,
/venues/3494679,Jetlag,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/3201463,Représentation privée,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/4384179,Prémices Festival,Lausanne,1000,,Switzerland,46.51965,6.63227,https://premices.ch/,
/venues/3617389,1066 Festival,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/3770599,Porno Diesel,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/4390488,Quais de Lutry,Lausanne,1095,,Switzerland,46.51965,6.63227,http://www.sdlutry.ch/concerts.html,
/venues/3448744,La Casona Latina,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/3709564,Café du Pont,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/3697779,Mad Moulin à Danses,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/3112609,Le Sapin,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/3670519,Metal Highway,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/4385864,Parc de Valency,Lausanne,1010,,Switzerland,46.51965,6.63227,https://www.lausanne.ch/agenda-et-actualites/lausanne-heure-ete/garden-parties/garden-parties;jsessionid=7E59DD561FFF0FC26EC9A6298D664309,
/venues/3550409,La Bourdache,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/4294084,Auberge de beaulieu,Lausanne,1000,,Switzerland,46.51965,6.63227,http://lauberge-de-beaulieu.thefork.rest/,
/venues/3552484,Impetus Festival,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/3548024,Le Broadway Av.,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/3616004,Pavillon Bar & Kitchen,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/3177169,Depart Place De Bellerive,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/3499809,Intimité Live 7Radio,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/3516524,RTS Espace 2 – émission Magnétique,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/4279434,Jardin Roussy,Lausanne,1814,,Switzerland,46.51965,6.63227,,
/venues/3402754,Topophoniques,Lausanne,,,Switzerland,46.51965,6.63227,http://topophoniques.blogspot.ch,
/venues/3643809,Punk,Lausanne,,,Switzerland,46.51965,6.63227,,
/venues/3686539,Ancient Astronaut,Lausanne,,,Switzerland,46.51965,6.63227,,
