genre_id,genre_name,parent_genre_id,parent_genre_name,everynoise_id,discogs_genre_name,discogs_style_name
Q63243766,Anglican hymn,Q856713,Christian hymn,,,
Q15894909,Anglo rock,,,,,
Q4065202,Anglo-American music,,,,,
Q4763788,Angolan rock,Q11399,rock music,,,
Q4763788,Angolan rock,Q3291151,music of Angola,,,
Q2849807,angura kei,,,,,
Q9615674,anhalt EBM,,,,,
Q17012551,animation music,Q492264,film score,,,
Q17191592,anime music,Q11398105,gekitomo music,,,
Q17191592,anime music,Q17012551,animation music,,,
Q608862,anisong,Q7366,song,,,
Q608862,anisong,Q17191592,anime music,,,
Q541947,anthem,Q484692,hymn,anthem,,
Q541947,anthem,Q63203971,religious hymn,anthem,,
Q107494231,anthem,Q856713,Christian hymn,,,
Q107494231,anthem,Q4763552,Anglican church music,,,
Q25407483,anthem house,Q20502,house music,,,
Q9156182,anthem trance,Q170435,trance,,,
Q61998611,anti runa,,,,,
Q574651,anti-folk,Q43343,folk music,antifolk,,
Q582093,antiphon,Q191609,refrain,,,
Q582093,antiphon,Q1027114,call and response,,,
Q582093,antiphon,Q23072435,chant,,,
Q4067146,Antiphonic chant,Q23072435,chant,,,
Q4034145,antipop,Q1695023,alternative,,,
Q16687441,aomoji kei,Q131425,visual kei,,,
Q617338,apala,Q9048265,Yoruba music,,,
Q617338,apala,Q98528185,African folk music,,,
Q108616106,Appalachian folk music,Q1541229,American folk music,appalachianfolk,,
Q108616106,Appalachian folk music,Q4780884,Appalachian music,appalachianfolk,,
Q4780884,Appalachian music,Q2267955,music of the United States,,,appalachian+music
Q2859120,aqua disco,,,,,
Q623823,arabesque,Q1063010,character piece,,,
Q623824,Arabesque,Q1074080,music of Turkey,,,
Q2379616,Arabesque pop,Q37073,pop music,,,
Q107267643,Arabesque rap,Q11401,hip hop music,,,
Q107267643,Arabesque rap,Q1074080,music of Turkey,,,
Q6026926,Arabesque rock,Q483740,Anatolian rock,,,
Q6026926,Arabesque rock,Q623824,Arabesque,,,
Q108107602,Arabic belly dance music,Q98528189,Arabic folk music,,,
Q107189715,Arabic classical music,Q624044,Arabic music,,,
Q107189715,Arabic classical music,Q98528260,Islamic modal music,,,
Q98528189,Arabic folk music,Q235858,traditional folk music,,,
Q98528189,Arabic folk music,Q624044,Arabic music,,,
Q624221,Arabic hip hop,Q11401,hip hop music,arabichiphop,,
Q624221,Arabic hip hop,Q624044,Arabic music,arabichiphop,,
Q107267759,Arabic jazz,Q8341,jazz,arabicjazz,,
Q107267759,Arabic jazz,Q624044,Arabic music,arabicjazz,,
Q624044,Arabic music,Q369820,music of Africa,,,
Q624044,Arabic music,Q1503406,music of the Middle East,,,
Q624081,Arabic pop music,Q37073,pop music,arabpop,,
Q624081,Arabic pop music,Q624044,Arabic music,arabpop,,
Q22948243,Arabic Rock,Q11399,rock music,,,
Q22948243,Arabic Rock,Q624044,Arabic music,,,
Q108107614,Aragonese folk music,Q6942003,music of Aragon,,,
Q108107614,Aragonese folk music,Q98528259,Spanish folk music,,,
Q3572737,Aragonese rock,Q11399,rock music,,,
Q86679227,Aramaic music,,,,,
Q632393,archaic jazz,Q8341,jazz,,,
Q59387411,Archontorebetiko,Q220528,Rebetiko,,,
Q379033,arena rock,Q11399,rock music,,,arena+rock
Q4789437,Argentine cumbia,Q723418,cumbia,,,
Q5893243,Argentine heavy metal,,,argentineheavymetal,,
Q21713208,Argentine punk,,,argentinepunk,,
Q646026,Argentine rock,Q11399,rock music,argentinerock,,
Q646026,Argentine rock,Q645992,music of Argentina,argentinerock,,
Q25116,Argentine tango,Q3209069,social dance,,,
Q25116,Argentine tango,Q14390274,tango music,,,
Q30904272,Argentinian blues,,,,,
Q354204,Argentinian folk music,Q235858,traditional folk music,folkloreargentino,,
Q354204,Argentinian folk music,Q645992,music of Argentina,folkloreargentino,,
Q178122,aria,Q7366,song,,,
Q178122,aria,Q170412,melody,,,
Q564848,Aria di sorbetto,Q178122,aria,,,
Q383904,Arietta,Q178122,aria,,,
Q106103855,ariette,Q178122,aria,,,
Q2379556,Armenian chant,Q856713,Christian hymn,,,
Q2379556,Armenian chant,Q2665906,music of Armenia,,,
Q2379556,Armenian chant,Q23072435,chant,,,
Q108297178,Armenian church music,Q935586,liturgical music,,,
Q108297178,Armenian church music,Q2665906,music of Armenia,,,
Q108297178,Armenian church music,Q23072435,chant,,,
Q4069711,Armenian folk music,Q2665906,music of Armenia,armenianfolk,,
Q4069711,Armenian folk music,Q107013350,Caucasian folk music,armenianfolk,,
Q4159719,Armenian jazz,Q8341,jazz,,,
Q4159719,Armenian jazz,Q2665906,music of Armenia,,,
Q2391393,Armenian rock,Q11399,rock music,,,
Q2391393,Armenian rock,Q2665906,music of Armenia,,,
Q105433718,aroubi,Q3328583,music of Algeria,,,
Q2863648,Arrocha,,,,,
Q100139647,Arrochadeira,,,,,
Q4796091,arrorró,,,,,
Q163491,ars antiqua,,,,,
Q210854,Ars nova,Q106593854,polyphonic singing,,,
Q210854,Ars nova,Q163775,medieval music,,,
Q704073,Ars subtilior,Q163775,medieval music,arssubtilior,,
Q704073,Ars subtilior,Q106593854,polyphonic singing,arssubtilior,,
Q2864671,art lyrique,Q9730,Western classical music,,,
Q2864671,art lyrique,Q685884,vocal music,,,
Q2864671,art lyrique,Q1583807,art music,,,
Q1583807,art music,Q638,music,,,
Q25094849,art pop,Q37073,pop music,artpop,,
Q659599,art punk,Q3071,punk rock,artpunk,,
Q217467,art rock,Q11399,rock music,artrock,,art+rock
Q4797274,art song,Q7366,song,artsong,,
Q4797274,art song,Q685884,vocal music,artsong,,
Q4797274,art song,Q1583807,art music,artsong,,
Q30919272,artcore,Q2615500,intelligent drum and bass,,,
Q5707612,arunguita,,,,,
Q724010,Ashiqs of Azerbaijan,,,,,
Q108297179,Ashkenazi music,Q1716019,Jewish music,,,
Q55604305,Asian American hip hop,,,asianamericanhiphop,,
Q106635234,Asian folk music,Q235858,traditional folk music,,,
Q106635234,Asian folk music,Q525073,music of Asia,,,
Q4806789,Asian hip hop,Q11401,hip hop music,,,
Q4806789,Asian hip hop,Q525073,music of Asia,,,
Q10730335,Asian pop,Q37073,pop music,,,
Q10730335,Asian pop,Q525073,music of Asia,,,
Q1976128,Asian Underground,,,,,
Q2867170,Asiko,Q201022,folk dance,,,
Q2867170,Asiko,Q106588687,music of Central Africa,,,
Q3631657,aṣíkò,Q34379,musical instrument,,,
Q106602422,Assaggio,,,,,
Q108297180,Assamese folk music,Q6942006,music of Assam,,,
Q108297180,Assamese folk music,Q98528198,South Asian folk music,,,
Q4810433,Assyrian folk/pop music,Q98528189,Arabic folk music,assyrianpop,,
Q108297181,Asturian folk music,Q98528259,Spanish folk music,musicafolkasturiana,,
Q108297181,Asturian folk music,Q98528277,Celtic folk music,musicafolkasturiana,,
Q108297181,Asturian folk music,Q107611523,music of Asturias,musicafolkasturiana,,
Q18398185,Athabaskan fiddle,,,,,
Q106642094,Atlanta bass,Q546206,Miami bass,,,
Q756146,Atlanta blues,Q9759,blues,,,
Q4816198,Atlanta hip hop,,,,,
Q65937017,atmospheric black metal,Q132438,black metal,atmosphericblackmetal,,atmospheric+black+metal
Q25419984,atmospheric death metal,,,,,
Q98528150,atmospheric drum and bass,Q188994,drum and bass,atmosphericdnb,,
Q98528150,atmospheric drum and bass,Q2615500,intelligent drum and bass,atmosphericdnb,,
Q98528292,atmospheric sludge metal,Q720959,sludge metal,,,
Q63119086,Atomic Platters,Q37073,pop music,,,
Q758422,aubade,Q7366,song,,,
Q73263678,aulodia,,,,,
Q106653610,Aussie rock,Q83270,hard rock,,,
Q106653610,Aussie rock,Q3437817,Australian rock,,,
Q21998415,Australian classical music,Q9730,Western classical music,australianclassical,,
Q2407589,Australian country music,Q83440,country music,australiancountry,,
Q2407589,Australian country music,Q3114644,music of Australia,australiancountry,,
Q17000631,Australian folk music,Q235858,traditional folk music,,,
Q17000631,Australian folk music,Q3114644,music of Australia,,,
Q4825017,Australian hardcore,Q10922,hardcore punk,australianhardcore,,
Q4825017,Australian hardcore,Q3114644,music of Australia,australianhardcore,,
Q783243,Australian hip hop,Q11401,hip hop music,australianhiphop,,
Q4825029,Australian indie rock,Q183504,indie rock,australianindierock,,
Q4825029,Australian indie rock,Q3437817,Australian rock,australianindierock,,
Q4825034,Australian jazz,Q8341,jazz,australianjazz,,
Q4825034,Australian jazz,Q3114644,music of Australia,australianjazz,,
Q3437817,Australian rock,Q11399,rock music,australianrock,,
Q3437817,Australian rock,Q3114644,music of Australia,australianrock,,
Q4825221,Australian ska,Q54365,ska,australianska,,
Q4825221,Australian ska,Q3114644,music of Australia,australianska,,
Q4825229,Australian thrash metal,Q483352,thrash metal,australianthrashmetal,,
Q4825229,Australian thrash metal,Q3114644,music of Australia,australianthrashmetal,,
Q122772,Austrian hip hop,Q11401,hip hop music,austrianhiphop,,
Q122772,Austrian hip hop,Q2090712,music of Austria,austrianhiphop,,
Q108297183,Austronesian folk music,Q235858,traditional folk music,,,
Q108297183,Austronesian folk music,Q3328728,music of Oceania,,,
Q700423,Austropop,Q37073,pop music,austropop,,
Q788016,autonomous music,Q638,music,,,
Q94951462,Auvergnat folk music,Q3702442,Occitan folk music,,,
Q108297184,avant-folk,Q106298881,contemporary folk music,,,
Q30593639,Avant-funk,Q164444,funk,,,
Q790188,avant-garde jazz,Q8341,jazz,avantgardejazz,,avant-garde+jazz
Q790188,avant-garde jazz,Q2332751,avant-garde music,avantgardejazz,,avant-garde+jazz
Q641357,avant-garde metal,Q38848,heavy metal,avantgardemetal,,
Q2332751,avant-garde music,Q1583807,art music,avantgarde,,avantgarde
Q65937755,Avant-garde pop,,,,,
Q9162904,avant-pop,,,,,
Q3630966,avant-prog,Q49451,progressive rock,,,
Q3630966,avant-prog,Q1641839,experimental rock,,,
Q3630966,avant-prog,Q2332751,avant-garde music,,,
Q28444186,Avant-punk,,,,,
Q5713112,Avanzada,,,,,
Q8210150,Avanzada Regia,,,,,
Q108297185,Avar folk music,Q107013350,Caucasian folk music,,,
Q1435485,axé,Q899215,music of Brazil,axe,,axé
Q5714628,ayarachi,,,,,
Q18205078,Azerbaijani classical music,Q9730,Western classical music,,,
Q18205078,Azerbaijani classical music,Q724104,music of Azerbaijan,,,
Q4058252,Azerbaijani folk music,Q724104,music of Azerbaijan,,,
Q4058252,Azerbaijani folk music,Q107013350,Caucasian folk music,,,
Q4832426,Azerbaijani hip hop,Q11401,hip hop music,,,
Q4832426,Azerbaijani hip hop,Q724104,music of Azerbaijan,,,
Q2070102,Azerbaijani jazz,Q8341,jazz,,,
Q2070102,Azerbaijani jazz,Q724104,music of Azerbaijan,,,
Q18110001,Azerbaijani pop music,Q37073,pop music,,,
Q18110001,Azerbaijani pop music,Q724104,music of Azerbaijan,,,
Q4453768,Azerbaijani rock,Q11399,rock music,,,
Q4453768,Azerbaijani rock,Q724104,music of Azerbaijan,,,
Q108297186,azmari,Q106595599,music of Northeast Africa,,,
Q4832826,Azonto,,,azonto,,azonto
Q40461,bachata,Q316930,dance music,bachata,,bachata
Q40461,bachata,Q3328778,tropical music,bachata,,bachata
Q40461,bachata,Q6942370,music of the Dominican Republic,bachata,,bachata
Q4838724,Bachatón,Q40461,bachata,,,
Q4838724,Bachatón,Q202930,reggaeton,,,
Q1353390,background music,Q26897135,functional music,backgroundmusic,,
Q12302,bagad,Q910606,music of Brittany,,,
Q12302,bagad,Q1426710,marching band,,,
Q4841438,Baganda music,,,,,
Q788460,Bagatelle,Q207628,musical composition,,,
Q4841596,Baggy,Q11366,alternative rock,,,
Q5716336,Baguala,Q943929,traditional folk song,,,
Q30646631,Bahamian rhyming spiritual,,,,,
Q106547179,Bahia house,,,,,
Q5569994,Baião,Q11639,dance,baiao,,baião
Q5569994,Baião,Q899215,music of Brazil,baiao,,baião
Q2879826,Baila,,,,,
Q3398980,Bailada,,,,,
Q18582315,baile chino,,,,,
Q2879857,bailecito,Q11639,dance,,,
Q4848674,Baisha xiyue,Q15926105,ancient Naxi music,,,
Q4848674,Baisha xiyue,Q106634987,Chinese classical music,,,
Q11058740,bait,,,,,
Q4848738,baithak gana,,,baithakgana,,
Q17038343,Baizi opera,Q737994,Chinese opera,,,
Q4848983,Baka music,,,,,
Q5716953,bakalao,,,,,
Q804401,Bakersfield sound,Q83440,country music,bakersfieldsound,,
Q804401,Bakersfield sound,Q3140141,honky tonk,bakersfieldsound,,
Q7770873,bal-musette,Q11639,dance,balmusette,,musette
Q7770873,bal-musette,Q2956178,French folk music,balmusette,,musette
Q804596,Baladi,Q11639,dance,,,
Q4849865,Balakadri,,,,,
Q108297187,balani show,Q851213,electronic dance music,,,
Q108297187,balani show,Q6942329,music of West Africa,,,
Q2866725,balearic beat,Q20502,house music,,,
Q16837290,Balearic trance,Q170435,trance,,,
Q11210968,Balinese gamelan,Q194492,gamelan,,,
Q11210968,Balinese gamelan,Q1210921,music of Indonesia,,,
Q108297188,balitaw,Q3328743,music of the Philippines,,,
Q108297188,balitaw,Q106586999,Southeast Asian folk music,,,
Q35121365,Balkan ballad,,,,,
Q2197508,Balkan beats,,,balkanbeats,,
Q805044,Balkan brass,,,balkanbrass,,
Q6966089,Balkan folk music,Q3211884,music of the Balkans,,,
Q6966089,Balkan folk music,Q98528192,European folk music,,,
Q4851096,Balkan jazz,Q8341,jazz,,,
Q4851096,Balkan jazz,Q3211884,music of the Balkans,,,
Q20825943,Balkan pop,Q37073,pop music,,,
Q11907705,Ball de bot,Q11639,dance,,,
Q10654964,ballad of chivalry,Q182659,ballad,,,
Q10594989,ballad of the supernatural,Q182659,ballad,,,
Q805130,ballade,Q207628,musical composition,,,
Q1980609,ballata,,,,,
Q4851628,ballet,Q316930,dance music,,,
Q4851628,ballet,Q7777494,theatre music,,,
Q2881236,ballet d'action,Q15079786,ballet,,,
Q16535291,balletto,,,,,
Q106522098,ballroom,Q20502,house music,vogue,,ballroom
