,venue,locality,postal_code,street,country,latitude,longitude,venue_website
/venues/1943879,"Sargans, Switzerland",Mels,8887,,Switzerland,47.0438,9.424,
/venues/2958443,"Kiental, Switzerland",Frutigen,3723,,Switzerland,46.5431,7.75573,http://naturalsound.ch
/venues/78549,"Wetzikon, Switzerland",Wetzikon,,,Switzerland,47.32706,8.80136,
/venues/29550,Hallenstadion,Zürich,8050,Wallisellenstrasse 45,Switzerland,47.41161,8.55166,http://www.hallenstadion.ch/
/venues/32239,Hive,Zürich,8005,Geroldstrasse 5,Switzerland,47.38537,8.52047,http://www.hiveclub.ch/
/venues/29644,Volkshaus,Zürich,8004,Stauffacherstrasse 60,Switzerland,47.37546,8.52722,http://www.volkshaus.ch/
/venues/33266,Schüür,Luzern,6005,Tribschenstrasse 1,Switzerland,47.04458,8.31125,http://www.schuur.ch
/venues/417561,Ebullition,Bulle,1630,rue de Vevey 34,Switzerland,46.61616,7.05432,http://www.ebull.ch
/venues/37717,Moods,Zürich,8005,Schiffbaustrasse 6,Switzerland,47.38865,8.5187,http://www.moods.ch
/venues/35057,Volkshaus,Basel,4058,"Rebgasse, 12",Switzerland,47.56118,7.59367,http://www.volkshaus-basel.ch/
/venues/804281,Gare de Lion,Wil,9500,"Silostrasse, 10",Switzerland,47.46128,9.03267,http://www.garedelion.ch
/venues/33267,KiFF,Aarau,5000,Tellistrasse 118,Switzerland,47.39869,8.0637,http://www.kiff.ch
/venues/618641,Exil,Zürich,8005,Hardstrasse 245,Switzerland,47.38821,8.51987,http://www.exil.cl
/venues/31724,Kaufleuten,Zürich,8001,Pelikanplatz,Switzerland,47.37106,8.53572,http://www.kaufleuten.ch
/venues/69432,Dynamo,Zürich,8006,Wasserwerkstrasse 21,Switzerland,47.3834,8.53938,http://www.dynamo.ch/
/venues/814881,Kaserne Basel,Basel,4057,Klybeckstrasse 1b,Switzerland,47.56452,7.5913,http://www.kaserne-basel.ch
/venues/184783,Kulturfabrik Kofmehl,Solothurn,4503,Kofmehlweg 1,Switzerland,47.20063,7.5283,
/venues/4176519,"Sobrio, Switzerland",Locarno,,,Switzerland,,,
/venues/78082,Bierhübeli,Bern,3012,Neubrückstrasse 43,Switzerland,46.95634,7.43789,http://www.bierhuebeli.ch/
/venues/514666,Z7 Konzertfabrik,Basel,4133,KRAFTWERKSTRASSE 7,Switzerland,47.52729,7.69406,http://www.z-7.ch/
/venues/35054,Les Docks,Lausanne,1004,34 rue Sévelin,Switzerland,46.52241,6.61925,http://www.lesdocks.ch/
/venues/30935,Rote Fabrik,Zürich,8038,"Seestrasse 395, Wollishofen",Switzerland,47.34337,8.5357,http://www.rotefabrik.ch
/venues/628886,St. Jakobshalle,Basel,4052,"Brüglingerstrasse, 21",Switzerland,47.5399,7.61826,http://www.stjakobshalle.ch/
/venues/58381,Salzhaus,Winterthur,8400,Untere Vogelsangstrasse 6,Switzerland,47.49759,8.72265,http://www.salzhaus.ch
/venues/32834,Mascotte,Zürich,8001 Zü,Theaterstrasse 10,Switzerland,47.36635,8.54669,http://www.mascotte.ch
/venues/58814,Mühle Hunziken,Bern,CH-3113,Hunziken,Switzerland,46.89116,7.54161,http://www.muehlehunziken.ch/
/venues/86235,El Lokal,Zürich,8001,Gessner Allee 11,Switzerland,47.37492,8.53418,http://www.ellokal.ch
/venues/130024,D Club,Lausanne,1000,Place Centrale 1,Switzerland,46.52067,6.63155,
/venues/33498,Fri-Son,Fribourg,CH-1700,Route de la Fonderie 13,Switzerland,46.7949,7.1519,http://www.fri-son.ch/
/venues/31959,Bad Bonn,Dudingen,3186,BONN 2,Switzerland,46.86157,7.18018,http://badbonn.ch/
/venues/388116,Kulturfabrik (KUFA) Lyss,Lyss,3250,Werdtstrasse 17,Switzerland,47.08065,7.29443,
/venues/49813,X-TRA,Zürich,8031,Limmatstrasse 118,Switzerland,47.38417,8.533,http://www.x-tra.ch/
/venues/836756,Marian's Jazzroom,Bern,3012,Hotel Innere Enge Engestrasse 54,Switzerland,46.96103,7.43941,
/venues/341441,La Parenthèse,Nyon,1260,Grand-rue 22bis,Switzerland,46.38327,6.23479,http://www.bar-laparenthese.ch
/venues/2837343,Le Romandie,Lausanne,1003,Place de l'Europe 1a,Switzerland,46.52012,6.63141,https://www.leromandie.ch/
/venues/1138086,Plaza,Zürich,8004,Badenerstrasse 109,Switzerland,47.37412,8.52462,
/venues/60548,Gaswerk Kulturzentrum,Winterthur,8406,Untere Schoentalstrasse 19,Switzerland,47.49455,8.70776,http://www.gaswerk.ch
/venues/32250,Abart,Zürich,8045,Manessestrasse 170,Switzerland,47.36167,8.52243,http://www.abart.ch/
/venues/1313491,Bogen F,Zürich,8005,Viaduktstrasse 97,Switzerland,47.38477,8.52086,http://www.bogenf.ch
/venues/45690,L'Usine,Geneva,1211,"4, Place Des Volontaires",Switzerland,46.204,6.13628,http://usine.ch
/venues/33304,KKL Luzern,Luzern,6005,Europaplatz 1,Switzerland,47.05032,8.31183,http://www.kkl-luzern.ch
/venues/393041,Papiersaal,Zürich,8045,Kalanderplatz 1,Switzerland,47.35803,8.52327,
/venues/59035,Kulturzentrum Kammgarn,Schaffhausen,8200,Baumgartenstrasse 19,Switzerland,47.69448,8.63673,
